id,source,text,created
877879361130688512,iPhone,"By the way, if Russia was working so hard on the 2016 Election, it all took place during the Obama Admin. Why didn't they stop them?",2017-06-22T13:22:04Z
877878375045447680,iPhone,Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump &amp; Russia.,2017-06-22T13:18:09Z
877846483021602816,iPhone,Great night in Iowa - special people. Thank you!,2017-06-22T11:11:25Z
877674738364989440,iPhone,Thank you Kirkwood Community College. Heading to the U.S. Cellular Center now for an 8pmE MAKE AMERICA GREAT AGAIN‚Ä¶ https://t.co/n6LS32a6Zn,2017-06-21T23:48:58Z
877663648713330688,iPhone,Just landed in Iowa. See everyone soon! #MAGAÌ†ºÌ∑∫Ì†ºÌ∑∏,2017-06-21T23:04:54Z
877474368661618688,iPhone,"Democrats would do much better as a party if they got together with Republicans on Healthcare,Tax Cuts,Security. Obstruction doesn't work!",2017-06-21T10:32:46Z
877372660455546880,iPhone,"Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O! All the Fake News, all the money spent = 0",2017-06-21T03:48:37Z
877363446530007040,iPhone,Ralph Norman ran a fantastic race to win in the Great State of South Carolina's 5th District. We are all honored by your success tonight!,2017-06-21T03:12:00Z
877355739383287808,iPhone,"Congratulations to Karen Handel on her big win in Georgia 6th. Fantastic job, we are all very proud of you!",2017-06-21T02:41:23Z
877353797760286720,iPhone,"Thank you @FoxNews ""Huge win for President Trump and GOP in Georgia Congressional Special Election.""",2017-06-21T02:33:40Z
877350761742688256,iPhone,Things are looking great for Karen H!,2017-06-21T02:21:36Z
877341043171241984,iPhone,"It was a great honor to welcome President Petro Poroshenko of Ukraine to the @WhiteHouse today with @VP Pence.
‚û°Ô∏è‚Ä¶ https://t.co/J1ulOd6pYQ",2017-06-21T01:42:59Z
877234140483121152,iPhone,"While I greatly appreciate the efforts of President Xi &amp; China to help with North Korea, it has not worked out. At least I know China tried!",2017-06-20T18:38:11Z
877204691851108353,iPhone,The U.S. once again condemns the brutality of the North Korean regime as we mourn its latest victim. Video: https://t.co/Rvm11ZbPk7,2017-06-20T16:41:10Z
877104262463008771,iPhone,"KAREN HANDEL FOR CONGRESS. She will fight for lower taxes, great healthcare strong security-a hard worker who will never give up! VOTE TODAY",2017-06-20T10:02:06Z
877101173412638720,iPhone,"Democrat Jon Ossoff, who wants to raise your taxes to the highest level and is weak on crime and security, doesn't even live in district.",2017-06-20T09:49:50Z
876964061027684352,iPhone,"Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct, no ideas. Vote ""R""",2017-06-20T00:45:00Z
876948721468141573,iPhone,Melania and I offer our deepest condolences to the family of Otto Warmbier. Full statement: https://t.co/8kmcA6YtFD https://t.co/EhrP4BiJeB,2017-06-19T23:44:02Z
876921011668738050,iPhone,"It was my great honor to welcome President @JC_Varela &amp; Mrs. Varela from Panama this afternoon.Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑µÌ†ºÌ∑¶
‚û°Ô∏è‚Ä¶ https://t.co/770OJj2uYb",2017-06-19T21:53:56Z
876901304207069185,iPhone,"....because he doesn't even live there! He wants to raise taxes and kill healthcare. On Tuesday, #VoteKarenHandel.",2017-06-19T20:35:37Z
876900944444837890,iPhone,Karen Handel's opponent in #GA06 can't even vote in the district he wants to represent....,2017-06-19T20:34:11Z
876899250071904256,iPhone,....getting great border security and healthcare. #VoteRalphNorman tomorrow!,2017-06-19T20:27:27Z
876899176562524160,iPhone,"Ralph Norman, who is running for Congress in SC's 5th District, will be a fantastic help to me in cutting taxes, and....",2017-06-19T20:27:10Z
876896144944762880,iPhone,My heartfelt thoughts and prayers are with the 7 @USNavy sailors of the #USSFitzgerald and their families. ‚û°Ô∏è‚Ä¶ https://t.co/L3u5c8Iymh,2017-06-19T20:15:07Z
876778344636928000,iPhone,"The Dems want to stop tax cuts, good healthcare and Border Security.Their ObamaCare is dead with 100% increases in P's. Vote now for Karen H",2017-06-19T12:27:01Z
876558049565188096,iPhone,Camp David is a very special place. An honor to have spent the weekend there. Military runs it so well and are so proud of what they do!,2017-06-18T21:51:39Z
